Comment,Designator,Footprint,LCSC,Quantity
1.5k,R5,R_0402_1005Metric,C25867,1
1.8k,R39,R_0603_1608Metric,C4177,1
100k,"R10,R26",R_0402_1005Metric,C25741,2
100n,"C10,C4,C6,C7,C8,C9",C_0402_1005Metric,C1525,6
1N5819WS,"D3,D4",D_SOD-323,C191023,2
20p,"C1,C3",C_0402_1005Metric,C1554,2
22,"R6,R7",R_0402_1005Metric,C25092,2
220,"R19,R20,R21,R22,R23,R29,R30,R31,R32",R_0402_1005Metric,C25091,9
2k,"R1,R2",R_0402_1005Metric,C4109,2
3.3k,R40,R_0402_1005Metric,C25890,1
330,"R11,R13,R15,R17,R24,R27,R33,R35,R37",R_0402_1005Metric,C25104,9
4.7u,"C2,C5",C_1206_3216Metric,C29823,2
5.1k,"R8,R9",R_0402_1005Metric,C25905,2
510,"R3,R4",R_0402_1005Metric,C25123,2
74AHC1GU04,U4,SOT-353_SC-70-5,C460485,1
74HCT245,U5,TSSOP-20_4.4x6.5mm_P0.65mm,C6779,1
74LVC1G04,U6,SOT-23-5,C7827,1
74LVC245,U7,TSSOP-20_4.4x6.5mm_P0.65mm,C7848,1
820,"R12,R14,R16,R18,R25,R28,R34,R36,R38",R_0402_1005Metric,C11702,9
8MHz,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962,1
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12,C165948,1
Micro_SD_Card_Det_Hirose_DM3AT,J3,microSD_HC_Hirose_DM3AT-SF-PEJM5,C114218,1
STM32F103C8Tx,U2,LQFP-48_7x7mm_P0.5mm,C8734,1
TLV75533PDRV,U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C2861750,1
USBLC6-2SC6,U3,SOT-23-6,C21713975,1
